Temps, Conills, Conills infectats, Salut conills
0,10,0,0
30,10,0,0
60,10,2,0
90,10,3,0
120,10,3,0
150,10,8,0
180,22,10,0
210,26,17,0
240,25,23,0
270,23,23,0
300,23,23,0
330,21,21,0
360,37,27,0
390,34,32,0
420,25,25,0
450,19,19,0
480,19,19,0
510,26,19,0
540,45,32,0
570,29,23,0
600,27,26,0
630,26,25,0
660,26,26,0
690,41,30,0
720,51,46,0
750,37,37,0
780,30,30,0
810,29,29,0
840,29,29,0
870,57,39,0
900,57,51,0
930,39,39,0
960,38,38,0
990,38,38,0
1020,38,38,0
1050,87,59,0
1080,70,66,0
1110,54,53,0
1140,53,53,0
1170,53,53,0
