Temps, Conills, Conills infectats, Salut conills
0,10,0,0
30,10,0,0
60,10,1,0
90,10,3,0
120,10,6,0
150,10,10,0
180,28,18,-0,08648796
210,28,26,-0,08648796
240,27,27,-0,08969121
270,23,23,-0,002526684
300,21,21,-0,00276732
330,17,17,0,01745478
360,29,23,0,02908872
390,21,18,0,04017014
420,16,14,0,1080472
450,15,13,0,1152504
480,14,13,0,1528848
510,27,13,0,1016097
540,33,25,0,07611334
570,26,22,0,09660539
600,23,21,0,1476923
630,20,18,0,1921878
660,20,18,0,1921878
690,39,24,0,2059317
720,35,25,0,2294667
750,31,24,0,2590753
780,27,20,0,3193501
810,25,18,0,3466081
840,34,18,0,4362754
870,61,35,0,3587598
900,58,39,0,3778951
930,54,36,0,4359409
960,51,34,0,4731228
990,51,35,0,4789073
1020,95,38,0,496716
1050,107,56,0,4774199
1080,106,73,0,4819238
1110,102,79,0,5054055
1140,98,83,0,5500539
1170,103,87,0,5612645
