Temps, Conills, Conills infectats, Salut conills
0,10,0,0
30,10,0,0
60,10,3,0
90,10,5,0
120,10,5,0
150,10,6,0
180,26,15,0,06432334
210,26,22,0,06432334
240,25,24,0,06689627
270,22,21,0,0760185
300,21,20,0,07963842
330,23,19,0,03029176
360,53,39,0,05637791
390,40,36,0,07470073
420,35,33,0,1411263
450,34,32,0,1452771
480,33,31,0,158136
510,71,31,0,2641922
540,82,60,0,2347282
570,65,53,0,2961186
600,60,48,0,3370568
630,60,49,0,3370568
660,60,50,0,3370568
690,130,72,0,346328
720,124,90,0,3677077
750,109,92,0,4267703
780,104,89,0,4496507
810,111,89,0,4579079
840,136,104,0,4901483
870,243,178,0,4781314
900,225,189,0,5135863
930,212,199,0,5383558
960,197,193,0,5332539
990,207,191,0,5599444
1020,325,210,0,5957481
1050,443,292,0,574623
1080,415,291,0,611354
1110,418,344,0,6186952
1140,443,402,0,626701
